Round,Double Sixes(T/F),Winner,Total Doubles,Double Ones,Double Twos,Double Threes,Double Fours,Double Fives,Double Sixes
122,False,House,3,1,0,1,0,1,0
123,True,Gambler,6,0,0,0,2,2,2
124,True,Gambler,3,0,1,0,0,0,2
125,True,Gambler,5,3,0,0,1,0,1
126,True,Gambler,5,0,0,0,2,2,1
127,False,House,5,1,0,2,1,1,0
128,False,House,2,0,1,0,1,0,0
129,False,House,4,0,3,0,0,1,0
130,True,Gambler,4,0,1,0,0,0,3
131,True,Gambler,6,1,1,1,1,0,2
132,False,House,2,0,1,0,1,0,0
133,True,Gambler,4,0,1,2,0,0,1
134,False,House,2,0,1,1,0,0,0
135,False,House,4,1,1,1,0,1,0
136,False,House,3,0,2,0,1,0,0
137,True,Gambler,4,0,0,0,0,0,4
138,False,House,1,1,0,0,0,0,0
139,True,Gambler,3,1,0,0,1,0,1
140,True,Gambler,4,1,0,0,0,1,2
141,False,House,3,0,2,0,1,0,0
142,False,House,2,1,0,0,0,1,0
143,False,House,6,1,3,0,2,0,0
144,False,House,6,0,3,2,0,1,0
145,False,House,4,1,2,1,0,0,0
146,False,House,4,0,0,1,1,2,0
147,False,House,3,1,0,0,1,1,0
148,False,House,5,2,2,0,0,1,0
149,True,Gambler,5,1,1,2,0,0,1
150,True,Gambler,5,1,0,0,0,2,2
151,False,House,5,2,1,1,0,1,0
152,True,Gambler,6,1,0,0,1,1,3
153,False,House,3,0,0,0,1,2,0
154,False,House,2,1,0,1,0,0,0
155,False,House,5,1,3,1,0,0,0
156,False,House,3,0,0,1,1,1,0
157,True,Gambler,4,1,1,0,1,0,1
158,True,Gambler,8,2,0,2,1,2,1
159,True,Gambler,4,0,0,2,0,0,2
160,False,House,6,2,2,0,2,0,0
161,True,Gambler,4,0,0,0,1,0,3
162,False,House,5,1,0,2,1,1,0
163,True,Gambler,2,0,0,0,0,1,1
164,False,House,2,0,0,0,1,1,0
165,True,Gambler,3,0,0,2,0,0,1
166,False,House,5,2,1,1,1,0,0
167,False,House,7,1,0,2,2,2,0
168,True,Gambler,7,0,4,1,1,0,1
169,True,Gambler,2,0,0,0,1,0,1
170,False,House,1,0,0,0,1,0,0
171,False,House,5,0,2,2,0,1,0
172,True,Gambler,3,0,0,0,1,1,1
173,True,Gambler,7,2,2,2,0,0,1
174,False,House,6,2,1,2,1,0,0
175,True,Gambler,4,0,1,0,0,2,1
176,False,House,5,1,2,0,1,1,0
177,True,Gambler,2,0,1,0,0,0,1
178,False,House,6,1,1,0,4,0,0
179,False,House,2,1,0,1,0,0,0
180,False,House,2,1,0,0,1,0,0
181,True,Gambler,5,1,1,1,0,0,2
182,True,Gambler,4,0,0,0,2,1,1
183,True,Gambler,2,0,0,0,0,0,2
184,True,Gambler,4,2,0,0,1,0,1
185,False,House,4,0,1,0,3,0,0
186,False,House,3,0,0,2,1,0,0
187,False,House,5,2,0,0,2,1,0
188,True,Gambler,4,0,1,0,0,2,1
189,True,Gambler,4,0,1,1,1,0,1
190,False,House,4,1,1,1,0,1,0
191,False,House,1,0,0,0,1,0,0
192,False,House,3,0,0,1,1,1,0
193,False,House,2,1,1,0,0,0,0
194,False,House,2,1,0,1,0,0,0
195,True,Gambler,3,0,0,0,1,1,1
196,True,Gambler,6,2,0,0,2,1,1
197,True,Gambler,3,0,1,0,1,0,1
198,True,Gambler,5,0,0,1,1,2,1
199,True,Gambler,2,0,0,0,1,0,1
200,True,Gambler,5,1,0,0,1,2,1
201,True,Gambler,3,0,1,0,0,1,1
202,False,House,5,1,2,1,1,0,0
203,False,House,3,0,2,0,1,0,0
204,True,Gambler,4,1,0,1,0,0,2
205,False,House,6,0,1,1,3,1,0
206,False,House,6,0,0,1,2,3,0
207,False,House,6,1,0,1,3,1,0
208,False,House,3,0,2,0,0,1,0
209,True,Gambler,5,0,0,3,0,0,2
210,False,House,3,2,0,1,0,0,0
211,False,House,2,0,0,0,1,1,0
212,False,House,4,2,1,0,0,1,0
213,False,House,2,0,1,1,0,0,0
214,False,House,4,2,0,1,0,1,0
215,True,Gambler,4,0,1,1,1,0,1
216,False,House,5,1,2,0,1,1,0
217,False,House,5,0,1,2,0,2,0
218,False,House,6,0,2,2,1,1,0
219,False,House,2,0,0,1,0,1,0
220,False,House,1,0,0,0,1,0,0
221,False,House,6,1,1,1,1,2,0
222,False,House,4,0,1,1,1,1,0
223,False,House,5,0,2,0,1,2,0
224,True,Gambler,3,0,0,1,1,0,1
225,False,House,3,0,0,1,1,1,0
226,True,Gambler,5,1,1,1,0,1,1
227,True,Gambler,5,1,1,0,1,1,1
228,True,Gambler,9,3,1,1,1,2,1
229,True,Gambler,7,1,0,1,1,0,4
230,False,House,4,1,2,0,0,1,0
231,True,Gambler,7,2,0,0,3,1,1
232,True,Gambler,3,0,1,1,0,0,1
233,False,House,1,0,0,1,0,0,0
234,False,House,3,1,0,0,1,1,0
235,True,Gambler,5,0,0,2,0,0,3
236,True,Gambler,7,1,1,0,3,1,1
237,False,House,1,0,0,0,1,0,0
238,False,House,5,0,1,0,2,2,0
239,False,House,4,0,1,1,2,0,0
240,True,Gambler,6,2,2,0,0,1,1
241,False,House,1,0,0,1,0,0,0
242,True,Gambler,5,0,1,3,0,0,1
243,False,House,1,1,0,0,0,0,0
244,True,Gambler,3,0,0,0,2,0,1
245,True,Gambler,6,2,2,0,1,0,1
246,True,Gambler,6,0,0,3,1,1,1
247,False,House,5,0,3,0,0,2,0
248,False,House,2,0,0,1,0,1,0
249,False,House,7,2,1,0,2,2,0
250,False,House,2,1,1,0,0,0,0
251,False,House,3,2,1,0,0,0,0
252,True,Gambler,6,0,0,3,0,2,1
253,True,Gambler,2,1,0,0,0,0,1
254,True,Gambler,5,1,0,2,0,1,1
255,False,House,5,2,1,1,0,1,0
256,True,Gambler,1,0,0,0,0,0,1
257,False,House,8,1,1,3,0,3,0
258,False,House,2,0,1,1,0,0,0
259,True,Gambler,3,0,1,0,1,0,1
260,False,House,4,0,0,0,2,2,0
261,False,House,2,1,1,0,0,0,0
262,False,House,1,0,0,0,1,0,0
263,False,House,5,1,1,2,0,1,0
264,True,Gambler,6,4,0,0,0,1,1
265,False,House,3,1,0,0,2,0,0
266,False,House,6,2,2,0,2,0,0
267,False,House,5,0,1,1,1,2,0
268,False,House,4,0,0,0,3,1,0
269,True,Gambler,5,0,1,0,0,0,4
270,False,House,1,0,0,0,0,1,0
271,True,Gambler,4,0,0,1,2,0,1
272,False,House,3,0,1,2,0,0,0
273,False,House,2,0,0,1,0,1,0
274,True,Gambler,2,0,0,1,0,0,1
275,True,Gambler,4,0,1,1,1,0,1
276,False,House,4,1,2,1,0,0,0
277,False,House,4,1,1,1,1,0,0
278,False,House,3,1,0,1,0,1,0
279,True,Gambler,6,1,1,2,1,0,1
280,False,House,1,0,1,0,0,0,0
281,True,Gambler,7,0,2,0,0,1,4
282,False,House,3,0,1,1,0,1,0
283,False,House,2,1,0,1,0,0,0
284,True,Gambler,9,3,0,0,3,1,2
285,False,House,2,0,0,0,2,0,0
286,False,House,4,1,2,0,0,1,0
287,False,House,4,4,0,0,0,0,0
288,False,House,3,1,1,0,0,1,0
289,True,Gambler,6,0,0,1,1,1,3
290,True,Gambler,5,0,3,1,0,0,1
291,True,Gambler,7,0,1,2,2,1,1
292,True,Gambler,6,1,1,1,0,2,1
293,False,House,3,1,1,1,0,0,0
294,True,Gambler,1,0,0,0,0,0,1
295,True,Gambler,4,1,1,0,1,0,1
296,False,House,1,0,0,0,1,0,0
297,True,Gambler,6,2,1,0,0,2,1
298,True,Gambler,4,1,0,1,1,0,1
299,False,House,4,0,1,2,1,0,0
300,True,Gambler,4,0,1,2,0,0,1
301,True,Gambler,11,1,3,1,1,2,3
302,True,Gambler,4,1,0,1,0,1,1
303,False,House,6,1,0,1,2,2,0
304,True,Gambler,4,0,1,2,0,0,1
305,True,Gambler,4,0,0,1,2,0,1
306,True,Gambler,5,1,0,2,1,0,1
307,False,House,2,0,2,0,0,0,0
308,False,House,2,0,0,0,2,0,0
309,True,Gambler,6,1,2,1,0,1,1
310,True,Gambler,5,0,1,0,0,2,2
311,True,Gambler,7,2,0,3,1,0,1
312,False,House,3,1,0,1,0,1,0
313,False,House,4,0,3,1,0,0,0
314,True,Gambler,8,2,0,1,2,1,2
315,False,House,3,1,0,1,1,0,0
316,False,House,1,0,0,0,0,1,0
317,False,House,2,1,0,0,1,0,0
318,True,Gambler,6,1,3,0,0,1,1
319,False,House,7,1,3,2,1,0,0
320,True,Gambler,6,2,1,2,0,0,1
321,False,House,5,1,1,1,0,2,0
322,False,House,5,1,1,1,1,1,0
323,True,Gambler,5,1,0,0,1,0,3
324,False,House,2,0,0,1,0,1,0
325,True,Gambler,4,0,0,1,0,2,1
326,True,Gambler,4,1,0,0,0,2,1
327,True,Gambler,2,0,0,0,1,0,1
328,True,Gambler,5,1,0,1,0,1,2
329,False,House,2,0,0,0,1,1,0
330,True,Gambler,3,1,1,0,0,0,1
331,True,Gambler,6,1,1,1,2,0,1
332,False,House,1,1,0,0,0,0,0
333,False,House,4,0,0,0,3,1,0
334,True,Gambler,9,2,3,0,0,2,2
335,False,House,2,0,0,0,1,1,0
336,True,Gambler,6,0,1,1,1,0,3
337,True,Gambler,7,1,1,1,1,2,1
338,True,Gambler,3,0,0,1,0,0,2
339,True,Gambler,3,2,0,0,0,0,1
340,False,House,2,0,1,1,0,0,0
341,True,Gambler,5,1,1,1,0,1,1
342,False,House,6,1,1,1,3,0,0
343,True,Gambler,4,0,0,2,0,0,2
344,False,House,4,0,1,0,1,2,0
345,True,Gambler,4,2,0,0,0,0,2
346,True,Gambler,2,0,0,1,0,0,1
347,True,Gambler,5,3,0,1,0,0,1
348,False,House,3,1,0,1,0,1,0
349,True,Gambler,3,1,0,0,1,0,1
350,False,House,3,0,0,2,0,1,0
351,False,House,2,1,0,0,1,0,0
352,True,Gambler,4,0,0,2,0,1,1
353,False,House,3,1,1,0,1,0,0
354,True,Gambler,6,0,2,1,0,2,1
355,True,Gambler,8,2,1,1,3,0,1
356,False,House,4,1,0,0,1,2,0
357,False,House,2,0,0,1,0,1,0
358,False,House,3,0,1,0,0,2,0
359,True,Gambler,1,0,0,0,0,0,1
360,False,House,5,2,1,0,1,1,0
361,False,House,4,1,0,1,1,1,0
362,True,Gambler,2,0,0,1,0,0,1
363,True,Gambler,5,1,2,0,0,0,2
364,False,House,1,0,0,1,0,0,0
365,False,House,0,0,0,0,0,0,0
366,True,Gambler,4,1,0,2,0,0,1
367,False,House,2,0,0,0,1,1,0
368,True,Gambler,7,2,1,2,1,0,1
369,True,Gambler,5,3,0,0,0,0,2
370,True,Gambler,3,0,0,0,0,2,1
371,True,Gambler,3,0,0,1,0,0,2
372,False,House,2,1,0,1,0,0,0
373,True,Gambler,6,1,0,1,2,1,1
374,False,House,1,0,0,0,1,0,0
375,False,House,0,0,0,0,0,0,0
376,True,Gambler,4,0,0,2,1,0,1
377,False,House,4,0,1,3,0,0,0
378,False,House,5,1,1,2,0,1,0
379,True,Gambler,7,2,0,3,1,0,1
380,False,House,3,0,0,0,1,2,0
381,True,Gambler,4,0,0,0,2,0,2
382,False,House,0,0,0,0,0,0,0
383,False,House,4,1,0,3,0,0,0
384,True,Gambler,7,0,0,4,1,0,2
385,True,Gambler,9,1,0,2,3,0,3
386,False,House,7,0,2,1,3,1,0
387,False,House,4,0,1,0,2,1,0
388,False,House,4,2,1,0,0,1,0
389,True,Gambler,3,0,1,1,0,0,1
390,True,Gambler,4,2,0,0,0,1,1
391,True,Gambler,6,1,1,0,1,2,1
392,True,Gambler,4,2,0,0,0,0,2
393,True,Gambler,9,1,1,1,1,2,3
394,True,Gambler,7,1,0,1,2,2,1
395,True,Gambler,4,0,0,2,1,0,1
396,False,House,0,0,0,0,0,0,0
397,True,Gambler,6,1,0,0,2,0,3
398,False,House,5,3,0,0,0,2,0
399,False,House,3,1,0,0,1,1,0
400,True,Gambler,4,1,0,0,0,1,2
401,True,Gambler,5,1,0,0,1,2,1
402,False,House,3,0,1,1,0,1,0
403,False,House,4,1,1,0,2,0,0
404,True,Gambler,4,0,2,0,0,1,1
405,True,Gambler,4,1,0,0,1,1,1
406,False,House,6,2,1,1,0,2,0
407,False,House,1,0,0,0,0,1,0
408,False,House,2,1,0,1,0,0,0
409,True,Gambler,6,2,0,0,2,1,1
410,False,House,3,1,1,1,0,0,0
411,True,Gambler,8,3,2,2,0,0,1
412,True,Gambler,4,0,1,0,1,1,1
413,False,House,3,0,0,1,1,1,0
414,True,Gambler,4,0,0,1,1,1,1
415,False,House,3,0,0,3,0,0,0
416,True,Gambler,4,1,1,1,0,0,1
417,False,House,5,3,1,0,1,0,0
418,True,Gambler,5,0,2,1,1,0,1
419,True,Gambler,7,1,1,0,2,0,3
420,True,Gambler,7,1,0,3,1,0,2
421,False,House,3,1,1,0,1,0,0
422,True,Gambler,3,1,0,0,1,0,1
423,True,Gambler,7,1,2,0,0,1,3
424,True,Gambler,4,0,0,0,1,1,2
425,False,House,4,0,1,0,1,2,0
426,False,House,1,0,0,0,1,0,0
427,False,House,4,2,0,1,0,1,0
428,True,Gambler,4,0,1,0,2,0,1
429,False,House,2,0,1,1,0,0,0
430,False,House,2,0,1,0,1,0,0
431,True,Gambler,7,0,1,1,2,2,1
432,True,Gambler,7,0,0,3,1,2,1
433,False,House,2,0,2,0,0,0,0
434,False,House,2,1,0,0,1,0,0
435,False,House,6,1,2,2,1,0,0
436,True,Gambler,5,1,0,2,0,0,2
437,True,Gambler,4,0,0,0,2,1,1
438,True,Gambler,3,0,1,1,0,0,1
439,False,House,1,0,0,0,1,0,0
440,True,Gambler,6,0,1,1,0,2,2
441,True,Gambler,6,0,1,1,2,1,1
442,True,Gambler,4,2,1,0,0,0,1
443,True,Gambler,8,1,2,0,0,3,2
444,False,House,3,1,0,0,0,2,0
445,True,Gambler,4,0,0,0,1,2,1
446,False,House,2,0,2,0,0,0,0
447,True,Gambler,7,3,0,0,1,1,2
448,True,Gambler,6,0,0,1,2,1,2
449,True,Gambler,6,2,2,1,0,0,1
450,False,House,1,0,0,1,0,0,0
451,True,Gambler,1,0,0,0,0,0,1
452,False,House,2,0,0,0,1,1,0
453,True,Gambler,2,0,0,0,0,1,1
454,True,Gambler,5,0,3,0,1,0,1
455,True,Gambler,3,1,0,1,0,0,1
456,False,House,4,2,0,1,1,0,0
457,True,Gambler,5,1,1,1,0,0,2
458,True,Gambler,4,0,0,2,0,1,1
459,False,House,7,3,0,2,0,2,0
460,True,Gambler,3,0,0,0,1,1,1
461,False,House,3,0,0,1,0,2,0
462,True,Gambler,2,0,0,0,0,0,2
463,False,House,5,1,1,0,2,1,0
464,False,House,3,0,1,0,2,0,0
465,False,House,2,0,0,0,0,2,0
466,False,House,1,0,0,0,0,1,0
467,True,Gambler,3,1,0,1,0,0,1
468,True,Gambler,3,0,0,1,0,1,1
469,True,Gambler,7,1,1,0,3,1,1
470,False,House,4,1,0,2,0,1,0
471,True,Gambler,5,2,0,0,0,1,2
472,False,House,3,1,0,0,2,0,0
473,True,Gambler,8,3,2,0,1,0,2
474,True,Gambler,5,1,1,1,0,1,1
475,True,Gambler,1,0,0,0,0,0,1
476,True,Gambler,3,0,1,0,1,0,1
477,False,House,3,1,1,0,0,1,0
478,True,Gambler,3,0,0,1,0,1,1
479,True,Gambler,3,2,0,0,0,0,1
480,False,House,4,2,0,1,0,1,0
481,False,House,5,0,1,1,2,1,0
482,False,House,2,0,0,1,1,0,0
483,True,Gambler,3,0,0,0,2,0,1
484,True,Gambler,4,0,2,1,0,0,1
485,True,Gambler,4,0,0,2,0,1,1
486,False,House,5,1,1,0,2,1,0
487,True,Gambler,4,1,1,1,0,0,1
488,False,House,5,0,1,0,0,4,0
489,True,Gambler,5,1,2,1,0,0,1
490,False,House,8,2,1,1,2,2,0
491,True,Gambler,3,0,0,0,1,1,1
492,False,House,4,1,0,1,1,1,0
493,True,Gambler,9,2,3,1,1,1,1
494,True,Gambler,4,2,0,0,1,0,1
495,True,Gambler,8,0,1,3,0,3,1
496,False,House,10,3,4,2,0,1,0
497,False,House,5,0,2,1,0,2,0
498,True,Gambler,6,1,1,3,0,0,1
499,True,Gambler,3,0,1,0,1,0,1
500,True,Gambler,4,0,0,0,0,1,3
501,False,House,5,0,2,1,1,1,0
502,True,Gambler,3,0,0,1,1,0,1
503,False,House,3,1,1,0,1,0,0
504,False,House,1,0,0,0,1,0,0
505,False,House,1,0,0,1,0,0,0
506,False,House,3,0,2,1,0,0,0
507,True,Gambler,3,0,0,0,0,1,2
508,True,Gambler,5,0,2,0,1,1,1
509,False,House,5,1,1,1,0,2,0
510,True,Gambler,6,1,0,2,0,0,3
511,False,House,1,0,0,1,0,0,0
512,False,House,3,1,0,0,1,1,0
513,True,Gambler,1,0,0,0,0,0,1
514,False,House,3,2,0,0,1,0,0
515,True,Gambler,3,0,0,0,1,1,1
516,False,House,5,3,0,1,1,0,0
517,True,Gambler,3,1,0,0,1,0,1
518,False,House,3,0,0,1,0,2,0
519,True,Gambler,4,0,1,0,0,0,3
520,True,Gambler,5,0,0,0,1,2,2
521,True,Gambler,4,0,3,0,0,0,1
522,False,House,5,1,1,1,0,2,0
523,True,Gambler,3,0,1,0,1,0,1
524,False,House,2,1,0,0,0,1,0
525,True,Gambler,3,0,1,0,1,0,1
526,True,Gambler,4,1,1,0,0,1,1
527,False,House,3,0,0,0,1,2,0
528,True,Gambler,6,1,0,1,0,3,1
529,True,Gambler,7,0,2,0,2,0,3
530,True,Gambler,4,1,0,1,0,0,2
531,False,House,3,0,1,2,0,0,0
532,False,House,5,2,1,0,1,1,0
533,True,Gambler,3,0,0,0,1,0,2
534,False,House,3,1,0,1,1,0,0
535,False,House,4,1,0,1,2,0,0
536,True,Gambler,5,0,2,0,0,2,1
537,True,Gambler,7,2,1,2,0,1,1
538,False,House,2,1,1,0,0,0,0
539,True,Gambler,6,1,1,0,2,1,1
540,False,House,3,1,1,1,0,0,0
541,False,House,7,0,1,5,1,0,0
542,True,Gambler,8,2,1,2,1,1,1
543,True,Gambler,5,1,1,1,1,0,1
544,True,Gambler,4,0,1,2,0,0,1
545,True,Gambler,6,1,1,0,0,1,3
546,False,House,7,2,0,1,1,3,0
547,False,House,5,1,2,1,1,0,0
548,False,House,1,0,0,1,0,0,0
549,True,Gambler,4,0,0,0,1,2,1
550,False,House,4,1,2,0,0,1,0
551,False,House,3,1,0,0,1,1,0
552,False,House,2,0,1,1,0,0,0
553,False,House,3,1,0,1,1,0,0
554,False,House,2,0,0,0,1,1,0
555,True,Gambler,3,0,1,0,0,0,2
556,True,Gambler,4,0,1,0,1,0,2
557,False,House,2,0,0,0,0,2,0
558,False,House,1,0,0,0,1,0,0
559,True,Gambler,8,0,2,1,2,1,2
560,True,Gambler,6,1,0,1,2,0,2
561,False,House,6,1,1,1,1,2,0
562,False,House,1,0,1,0,0,0,0
563,True,Gambler,5,2,0,1,0,1,1
564,True,Gambler,4,1,0,1,1,0,1
565,True,Gambler,4,1,0,0,0,2,1
566,False,House,4,1,1,1,1,0,0
567,False,House,4,2,0,0,1,1,0
568,False,House,1,0,1,0,0,0,0
569,False,House,5,1,1,1,0,2,0
570,True,Gambler,4,1,1,1,0,0,1
571,True,Gambler,4,1,0,2,0,0,1
572,True,Gambler,7,2,0,2,1,1,1
573,False,House,4,2,1,0,0,1,0
574,True,Gambler,3,1,0,0,0,1,1
575,True,Gambler,3,0,0,0,1,1,1
576,False,House,5,1,0,4,0,0,0
577,False,House,3,1,0,1,0,1,0
578,True,Gambler,7,0,2,1,0,2,2
579,True,Gambler,5,1,0,0,3,0,1
580,False,House,11,3,5,1,2,0,0
581,False,House,4,1,0,1,0,2,0
582,True,Gambler,6,1,4,0,0,0,1
583,False,House,2,0,1,0,1,0,0
584,True,Gambler,3,0,0,0,2,0,1
585,False,House,1,0,0,0,0,1,0
586,False,House,2,0,0,0,0,2,0
587,True,Gambler,4,1,1,1,0,0,1
588,True,Gambler,5,2,0,1,0,1,1
589,False,House,4,1,1,0,2,0,0
590,True,Gambler,3,0,0,0,2,0,1
591,False,House,5,0,2,1,2,0,0
592,False,House,2,1,1,0,0,0,0
593,True,Gambler,8,1,3,2,1,0,1
594,False,House,1,0,0,0,0,1,0
595,False,House,2,0,1,0,0,1,0
596,False,House,5,2,2,0,0,1,0
597,False,House,2,0,0,2,0,0,0
598,False,House,1,0,0,0,0,1,0
599,True,Gambler,5,0,2,0,1,1,1
600,True,Gambler,6,1,2,1,1,0,1
601,False,House,1,0,0,0,1,0,0
602,True,Gambler,2,0,0,0,0,0,2
603,False,House,7,0,2,3,2,0,0
604,True,Gambler,3,0,2,0,0,0,1
605,False,House,2,0,0,0,1,1,0
606,True,Gambler,4,0,0,0,1,1,2
607,False,House,4,0,0,1,1,2,0
608,False,House,3,2,0,0,1,0,0
609,False,House,4,0,0,2,2,0,0
610,True,Gambler,5,1,0,0,1,1,2
611,True,Gambler,4,0,1,1,0,0,2
612,False,House,1,0,0,0,1,0,0
613,False,House,4,0,0,2,2,0,0
614,True,Gambler,10,1,1,4,2,1,1
615,False,House,3,0,0,2,0,1,0
616,False,House,6,1,1,0,1,3,0
617,False,House,5,0,1,1,2,1,0
618,True,Gambler,4,0,1,1,1,0,1
619,True,Gambler,3,1,0,0,1,0,1
620,False,House,3,0,2,0,1,0,0
621,False,House,7,3,0,4,0,0,0
622,False,House,1,0,1,0,0,0,0
623,False,House,3,2,1,0,0,0,0
624,False,House,0,0,0,0,0,0,0
625,True,Gambler,5,0,1,0,1,1,2
626,True,Gambler,6,2,0,0,1,2,1
627,False,House,4,0,0,2,2,0,0
628,True,Gambler,8,2,0,2,1,1,2
629,False,House,2,1,0,1,0,0,0
630,False,House,4,0,1,0,2,1,0
631,True,Gambler,6,0,1,0,1,2,2
632,False,House,5,1,1,0,2,1,0
633,False,House,3,0,1,2,0,0,0
634,False,House,4,0,1,2,0,1,0
635,False,House,4,0,1,0,0,3,0
636,False,House,1,0,1,0,0,0,0
637,False,House,4,0,0,1,2,1,0
638,False,House,3,0,0,1,0,2,0
639,False,House,4,1,0,0,2,1,0
640,False,House,3,2,0,0,1,0,0
641,True,Gambler,5,2,0,2,0,0,1
642,False,House,4,1,0,3,0,0,0
643,False,House,7,0,3,0,2,2,0
644,True,Gambler,6,3,0,1,0,1,1
645,True,Gambler,5,0,0,2,1,1,1
646,True,Gambler,2,0,0,0,0,1,1
647,False,House,5,1,0,2,2,0,0
